2020-04-23 11:06:42 install gzip:amd64 <none> 1.10-0ubuntu4
2020-04-23 11:06:42 status half-installed gzip:amd64 1.10-0ubuntu4
2020-04-23 11:06:43 status unpacked gzip:amd64 1.10-0ubuntu4
2020-04-23 11:06:43 install hostname:amd64 <none> 3.23
2020-04-23 11:06:43 status half-installed hostname:amd64 3.23
2020-04-23 11:06:43 status unpacked hostname:amd64 3.23
2020-04-23 11:06:43 install init-system-helpers:all <none> 1.57
2020-04-23 11:06:43 status half-installed init-system-helpers:all 1.57
2020-04-23 11:06:43 status unpacked init-system-helpers:all 1.57
2020-04-23 11:06:43 install libacl1:amd64 <none> 2.2.53-6
2020-04-23 11:06:43 status half-installed libacl1:amd64 2.2.53-6
2020-04-23 11:06:43 status unpacked libacl1:amd64 2.2.53-6
2020-04-23 11:06:43 install libattr1:amd64 <none> 1:2.4.48-5
2020-04-23 11:06:43 status half-installed libattr1:amd64 1:2.4.48-5
2020-04-23 11:06:43 status unpacked libattr1:amd64 1:2.4.48-5
2020-04-23 11:06:43 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2020-04-23 11:06:43 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-04-23 11:06:43 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-04-23 11:06:43 install libaudit1:amd64 <none> 1:2.8.5-2ubuntu6
2020-04-23 11:06:43 status half-installed libaudit1:amd64 1:2.8.5-2ubuntu6
2020-04-23 11:06:43 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2020-04-23 11:06:43 install libblkid1:amd64 <none> 2.34-0.1ubuntu9
2020-04-23 11:06:43 status half-installed libblkid1:amd64 2.34-0.1ubuntu9
2020-04-23 11:06:43 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2020-04-23 11:06:43 install libbz2-1.0:amd64 <none> 1.0.8-2
2020-04-23 11:06:43 status half-installed libbz2-1.0:amd64 1.0.8-2
2020-04-23 11:06:43 status unpacked libbz2-1.0:amd64 1.0.8-2
2020-04-23 11:06:43 install libc-bin:amd64 <none> 2.31-0ubuntu9
2020-04-23 11:06:43 status half-installed libc-bin:amd64 2.31-0ubuntu9
2020-04-23 11:06:43 status unpacked libc-bin:amd64 2.31-0ubuntu9
2020-04-23 11:06:43 upgrade libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2020-04-23 11:06:43 status half-configured libc6:amd64 2.31-0ubuntu9
2020-04-23 11:06:43 status unpacked libc6:amd64 2.31-0ubuntu9
2020-04-23 11:06:43 status half-installed libc6:amd64 2.31-0ubuntu9
2020-04-23 11:06:43 status unpacked libc6:amd64 2.31-0ubuntu9
2020-04-23 11:06:43 install libcap-ng0:amd64 <none> 0.7.9-2.1build1
2020-04-23 11:06:43 status half-installed libcap-ng0:amd64 0.7.9-2.1build1
2020-04-23 11:06:43 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
2020-04-23 11:06:43 install libcom-err2:amd64 <none> 1.45.5-2ubuntu1
2020-04-23 11:06:43 status half-installed libcom-err2:amd64 1.45.5-2ubuntu1
2020-04-23 11:06:43 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2020-04-23 11:06:43 install libcrypt1:amd64 <none> 1:4.4.10-10ubuntu4
2020-04-23 11:06:43 status half-installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-04-23 11:06:43 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-04-23 11:06:43 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu2
2020-04-23 11:06:43 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-04-23 11:06:43 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-04-23 11:06:43 install libdebconfclient0:amd64 <none> 0.251ubuntu1
2020-04-23 11:06:43 status half-installed libdebconfclient0:amd64 0.251ubuntu1
2020-04-23 11:06:43 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2020-04-23 11:06:43 install libext2fs2:amd64 <none> 1.45.5-2ubuntu1
